review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R2LJ4QYQ4PYDEH,5,24,26,Y,N
R33G2VDKRN2USY,5,21,21,Y,N
R2PJWWQZ37WCIC,5,95,96,Y,N
R2UV5XHFNMPXOX,5,60,61,Y,N
R31V08BCC9X3MF,5,18,22,Y,N
R2G00QWTYW9N2G,5,86,91,Y,N
RL8H3NKKP989J,5,30,34,Y,N
RDZBWH5MFEQY1,5,18,22,Y,N
R3VWAKQ4JXGE55,5,33,34,Y,N
RNZ2BP0EHN7IK,5,20,20,Y,N
R3TZE1OYDVZPRD,5,23,24,Y,N
